id	lnClb	lnCub
alltn_c	-14.50865774	1
accoa_x	-14.50865774	1
aces_c	-14.50865774	1
aces_e	-14.50865774	1
camp_c	-14.50865774	1
acg5p_m	-14.50865774	1
alltn_e	1	1
caphis_c	-14.50865774	1
alltt_c	-14.50865774	1
acg5sa_m	-14.50865774	1
cbasp_c	-14.50865774	1
acgam1p_c	-14.50865774	1
alltt_e	-14.50865774	1
alpam_m	-14.50865774	1
cbasp_n	-14.50865774	1
alpro_m	-14.50865774	1
acgam6p_c	-14.50865774	1
acglu_m	-14.50865774	1
cbp_c	-14.50865774	1
achms_c	-14.50865774	1
amet_c	-14.50865774	1
cbp_n	-14.50865774	1
amet_e	-14.50865774	1
acon5m_c	-14.50865774	1
cdp_c	-14.50865774	1
amet_m	-14.50865774	1
cdp_n	-14.50865774	1
ametam_c	-14.50865774	1
cdpchol_c	-14.50865774	1
amob_c	-14.50865774	1
amp2p_c	-14.50865774	1
cdpdag_SC_c	-14.50865774	1
amp_c	-14.50865774	1
cdpdag_SC_m	-14.50865774	1
amp_m	-14.50865774	1
amp_n	-14.50865774	1
amp_x	-14.50865774	1
cdpea_c	-14.50865774	1
anth_c	-14.50865774	1
cer1_24_c	-14.50865774	1
ap4a_c	-14.50865774	1
ap4g_c	-14.50865774	1
apep_c	-14.50865774	1
dca_e	1	1
cer1_24_r	-14.50865774	1
aproa_c	-14.50865774	1
cer1_26_c	-14.50865774	1
aprop_c	-14.50865774	1
cer1_26_r	-14.50865774	1
aprut_c	-14.50865774	1
cer2_24_c	-14.50865774	1
aps_c	-14.50865774	1
arab__D_c	-14.50865774	1
cer2_24_r	-14.50865774	1
dca_x	-14.50865774	1
cer2_26_c	-14.50865774	1
arab__D_e	-14.50865774	1
arab__L_c	-14.50865774	1
cer2_26_r	-14.50865774	1
arab__L_e	1	1
cer3_24_c	-14.50865774	1
arg__L_c	-14.50865774	1
cer3_26_c	-14.50865774	1
arg__L_e	1	1
cgly_c	-14.50865774	1
arg__L_m	-14.50865774	1
arg__L_v	-14.50865774	1
dcacoa_c	-14.50865774	1
ch4s_c	-14.50865774	1
dcacoa_x	-14.50865774	1
argsuc_c	-14.50865774	1
chitin_c	-14.50865774	1
argtrna_c	-14.50865774	1
dcamp_c	-14.50865774	1
chitos_c	-14.50865774	1
dcdp_c	-14.50865774	1
argtrna_m	-14.50865774	1
chol_c	-14.50865774	1
asn__L_c	-14.50865774	1
dcdp_n	-14.50865774	1
dcmp_c	-14.50865774	1
chol_e	1	1
dctp_c	-14.50865774	1
asn__L_e	1	1
asn__L_m	-14.50865774	1
cholp_c	-14.50865774	1
dcyt_c	-14.50865774	1
asn__L_v	-14.50865774	1
dcyt_e	1	1
chor_c	-14.50865774	1
dd2coa_x	-14.50865774	1
asntrna_c	-14.50865774	1
cit_c	-14.50865774	1
asntrna_m	-14.50865774	1
ddcaACP_c	-14.50865774	1
cit_e	1	1
ddcaACP_m	-14.50865774	1
asp__L_c	-14.50865774	1
cit_m	-14.50865774	1
asp__L_e	1	1
ddca_c	-14.50865774	1
ddca_e	1	1
asp__L_m	-14.50865774	1
cit_x	-14.50865774	1
asp__L_n	-14.50865774	1
ddca_x	-14.50865774	1
citr__L_c	-14.50865774	1
ddcacoa_c	-14.50865774	1
asp__L_v	-14.50865774	1
clpn_SC_m	-14.50865774	1
asp__L_x	-14.50865774	1
ddcacoa_x	-14.50865774	1
cmaphis_c	-14.50865774	1
dgdp_c	-14.50865774	1
aspsa_c	-14.50865774	1
cmp_c	-14.50865774	1
asptrna_c	-14.50865774	1
dgdp_n	-14.50865774	1
asptrna_m	-14.50865774	1
cmp_m	-14.50865774	1
athr__L_c	-14.50865774	1
dgmp_c	-14.50865774	1
dgsn_c	-14.50865774	1
cmusa_c	-14.50865774	1
dgsn_e	1	1
atp_c	-14.50865774	1
co2_c	-14.50865774	1
atp_g	-14.50865774	1
dgtp_c	-14.50865774	1
co2_e	1	1
dha_c	-14.50865774	1
atp_m	-14.50865774	1
co2_g	-14.50865774	1
dhap_c	-14.50865774	1
co2_m	-14.50865774	1
dhap_m	-14.50865774	1
co2_n	-14.50865774	1
dhf_c	-14.50865774	1
co2_v	-14.50865774	1
dhf_m	-14.50865774	1
dhlam_m	-14.50865774	1
f1p_c	-14.50865774	1
