reaction	g0
ASNt6	1e-05
ASNt7	1e-05
ASPCT	-22.4
ASPGLU2m	1e-05
ASPGLUtp	1e-05
ASPGLUtp_reverse	-1e-05
ASPK	22.0
ASPOcm	42.0
ASPTA	2.8
ASPTA_reverse	-2.8
ASPTAm	2.8
ASPTAm_reverse	-2.8
ASPTAp	2.8
ASPTAp_reverse	-2.8
ASPTRS	-1e-05
ASPTRSm	-1e-05
ASPt2m	1e-05
ASPt2m_reverse	-1e-05
ASPt2n	1e-05
ASPt2n_reverse	-1e-05
ASPt2r	1e-05
ASPt2r_reverse	-1e-05
ASPt5n	1e-05
ASPt5n_reverse	-1e-05
ASPt7	1e-05
ATHRDHr	13.1
ATHRDHr_reverse	-13.1
ATP2tp_H	1e-05
ATPATF1	14.0
ATPATF2	-1e-05
ATPATF3	22.0
ATPH1	-58.6
ATPM	-29.14
ATPPRT	-1e-05
ATPS	-29.14
ATPS3g	29.14
ATPS3m	29.14
ATPS3v	29.14
ATPtm_H	1e-05
ATPtp_H	1e-05
BACCL	1e-05
BIOMASS_SC5_notrace	-1e-05
BPNT	-7.7
BTDD_RR	1e-05
BTDD_RR_reverse	-1e-05
BTDt_RR	1e-05
BTDt_RR_reverse	-1e-05
BTNt2i	1e-05
BTSr	-1e-05
BTSr_reverse	1e-05
C14STR	-1e-05
C22STDS	1e-05
C22STDSx	1e-05
C24STRer	-56.1
C3STDH1	1e-05
C3STDH2	1e-05
C3STKR1	1e-05
C3STKR2	4.0
C4STMO1	1e-05
C4STMO2	-1e-05
C5STDS	-1e-05
C8STI	7.0
CAT	-192.0
CATp	-192.0
CBASPtn	1e-05
CBASPtn_reverse	-1e-05
CBPS	-13.5
CBPtn	1e-05
CBPtn_reverse	-1e-05
CCP2m	1e-05
CDPDGPm_SC	191.0
CDPDGPm_SC_reverse	-191.0
CDPtn	1e-05
CDPtn_reverse	-1e-05
CER1_24ter	1e-05
CER1_24ter_reverse	-1e-05
CER1_26ter	1e-05
CER1_26ter_reverse	-1e-05
CER2_24ter	1e-05
CER2_24ter_reverse	-1e-05
CER2_26ter	1e-05
CER2_26ter_reverse	-1e-05
CERASE124er	1e-05
CERASE126er	1e-05
CERASE224er	1e-05
CERASE226er	1e-05
CERH124_copy1	1e-05
CERH124_copy2	1e-05
CERH126_copy1	1e-05
CERH126_copy2	1e-05
CERS124	-1e-05
CERS124er	-1e-05
CERS126	-1e-05
CERS126er	-1e-05
CERS224	-1e-05
CERS224er	-1e-05
CERS226	-1e-05
CERS226er	-1e-05
CERS324	1e-05
CERS326	1e-05
CHLPCTD	4.3
CHLSTI	-1e-05
CHLt2	1e-05
CHOLK	-20.7
CHORM	-49.0
CHORS	-46.0
CHRPL	-113.0
CHTNDA	1e-05
CHTNS	-1e-05
CITt2r	1e-05
CITt2r_reverse	-1e-05
CITtam	1e-05
CITtam_reverse	-1e-05
CITtap	1e-05
CITtap_reverse	-1e-05
CITtbm	1e-05
CITtbm_reverse	-1e-05
CITtcm	1e-05
CITtcm_reverse	-1e-05
CITtcp	1e-05
CITtcp_reverse	-1e-05
CLPNSm_SC	-850.0
CMPN	-11.8
CO2t	1e-05
CO2t_reverse	-1e-05
CO2tg	1e-05
CO2tg_reverse	-1e-05
CO2tm	1e-05
CO2tm_reverse	-1e-05
CO2tn	1e-05
CO2tn_reverse	-1e-05
CO2tp	1e-05
CO2tp_reverse	-1e-05
CO2tv	1e-05
CO2tv_reverse	-1e-05
COAHLp	-48.1
COAtim	1e-05
COAtn	1e-05
COAtn_reverse	-1e-05
COUCOAFm	-13.2
CPPPGO	-355.0
CRNCARtm	1e-05
CRNCARtp	1e-05
CRNt	1e-05
CRNt_reverse	-1e-05
CRNtim	1e-05
CRNtp	1e-05
CSNATm	0.8
CSNATm_reverse	-0.8
CSNATp	-0.8
CSNATp_reverse	0.8
CSNATr	-0.8
CSNATr_reverse	0.8
