,kcat,MW,kcat_MW
GGTT,6.68E-06,36.8389,1.81E-07
GHMT2r,3.92585,36.8389,0.106568057
GHMT2r_reverse,3.790891228,36.8389,0.102904572
GHMT2rm,3.92585,36.8389,0.106568057
GHMT2rm_reverse,3.790891228,36.8389,0.102904572
GRTT,7.893761905,36.8389,0.214277894
GK1,330.2090909,36.8389,8.963598015
GK1_reverse,330.2090909,36.8389,8.963598015
GK2,330.2090909,36.8389,8.963598015
GK2_reverse,330.2090909,36.8389,8.963598015
GTHOr,324.5624243,36.8389,8.810318014
GTHOm,324.5624243,36.8389,8.810318014
FBA2,1.437424072,36.8389,0.039019191
FBA2_reverse,6.631898364,36.8389,0.180024332
GTHPi,15476.06385,36.8389,420.1011389
GTHPi_reverse,30814.44,36.8389,836.4647153
GTHPm,15476.06385,36.8389,420.1011389
GTHPm_reverse,30814.44,36.8389,836.4647153
FBA3,6.631898364,36.8389,0.180024332
FBA3_reverse,6.631898364,36.8389,0.180024332
GLNS,170.9786667,36.8389,4.641253313
GLNTRS,1.817966667,36.8389,0.049349103
GTHS,8.2815,36.8389,0.224803129
GTMLT,30.48804348,36.8389,0.82760461
FBP,19.184375,36.8389,0.520764056
GTPCI,14.41892222,36.8389,0.391404798
GTPH1,113.5368904,36.8389,3.08198373
GLPT,96.38166667,36.8389,2.616301428
FBP26,0.0565,36.8389,0.001533705
GLUCYS,6.8998,36.8389,0.187296581
GLUDC,20.134025,36.8389,0.546542513
GUAD,71.258,36.8389,1.934314
GUAPRT,3.065384615,36.8389,0.083210536
GLUDxi,106.6633637,36.8389,2.895400344
GLUDy,96.926394,36.8389,2.63108817
GLUDy_reverse,1589.818571,36.8389,43.15597294
FCLTm,0.0439,36.8389,0.001191675
FDH,69.961,36.8389,1.899106651
HACD10p,89.90909091,36.8389,2.440601943
HACD10p_reverse,89.90909091,36.8389,2.440601943
HACD4p,89.90909091,36.8389,2.440601943
HACD4p_reverse,89.90909091,36.8389,2.440601943
HACD5p,89.90909091,36.8389,2.440601943
HACD5p_reverse,89.90909091,36.8389,2.440601943
HACD6p,89.90909091,36.8389,2.440601943
HACD6p_reverse,89.90909091,36.8389,2.440601943
HCO3E,1369309.091,36.8389,37170.19485
HCO3E_reverse,1350616.667,36.8389,36662.7849
HCO3Em,1369309.091,36.8389,37170.19485
HCO3Em_reverse,1350616.667,36.8389,36662.7849
HCO3En,1369309.091,36.8389,37170.19485
HCO3En_reverse,1350616.667,36.8389,36662.7849
HACD7p,89.90909091,36.8389,2.440601943
HACD7p_reverse,89.90909091,36.8389,2.440601943
HACD8p,89.90909091,36.8389,2.440601943
HACD8p_reverse,89.90909091,36.8389,2.440601943
HACNHm,2.662352941,36.8389,0.072270153
HACNHm_reverse,2.662352941,36.8389,0.072270153
HCYSMT,0.101036364,36.8389,0.002742654
HEX1,49.74785385,36.8389,1.350416376
HEX4,35.03772727,36.8389,0.951106772
HEX7,945.142,36.8389,25.65608637
HGNTOR,36.98111111,36.8389,1.003860352
HICITDm,72.79230769,36.8389,1.975963118
HICITDm_reverse,72.79230769,36.8389,1.975963118
IMPC,8.6,36.8389,0.233448881
IMPC_reverse,8.6,36.8389,0.233448881
FKYNH,66.145,36.8389,1.795520496
IMPD,1.654520113,36.8389,0.04491231
HISTD,5.091545455,36.8389,0.138211115
FMETTRSm,16.34395,36.8389,0.443660098
HISTP,463.8892308,36.8389,12.59237466
HISTRS,43.9151,36.8389,1.192084997
INDPYRD,8.296153846,36.8389,0.225200911
INDPYRD_reverse,8.296153846,36.8389,0.225200911
HISTRSm,43.9151,36.8389,1.192084997
FMNAT,0.032409091,36.8389,0.000879752
HKYNH,3.256666667,36.8389,0.088402929
HMBS,0.25,36.8389,0.006786305
HMGCOAR,0.023,36.8389,0.00062434
HMGCOAR_reverse,0.023,36.8389,0.00062434
HMGCOAS,1.28085,36.8389,0.034768953
HMGCOAS_reverse,1.28085,36.8389,0.034768953
HMGCOASm,1.28085,36.8389,0.034768953
HMGCOASm_reverse,1.28085,36.8389,0.034768953
FMNATm,0.032409091,36.8389,0.000879752
HMPK1,0.2345,36.8389,0.006365554
